all,primary_care
0.98298025,0.91541076
0.99178505,0.90146744
0.992605,0.97916186
0.010122416,0.034399822
0.002595265,0.007463882
0.0009136909,0.0034482987
0.0015518145,0.011614576
0.023428697,0.012303075
0.95183766,0.80311203
0.19748479,0.10348414
0.2534512,0.93161994
0.9658211,0.66489583
0.0020077922,0.08903718
0.040446796,0.023689741
0.041183364,0.06301067
0.05237474,0.052508377
0.012845572,0.033647344
0.0321891,0.0078088036
0.0061353934,0.1612094
0.9908573,0.77953
0.85797167,0.57964694
0.005350826,0.018729864
0.053795386,0.031912964
0.021572703,0.0044351965
0.014237615,0.033302043
0.009107671,0.0799502
0.9417882,0.7144942
0.0028598255,0.10045817
0.97494817,0.76840687
0.97011435,0.680424
0.71987844,0.9642926
0.44584104,0.11071355
0.0053770547,0.016978456
0.44747996,0.3439476
0.26698977,0.64734405
0.1705189,0.7119695
0.85569465,0.9354275
0.010421873,0.074511945
0.00083132024,0.013671514
0.037152518,0.25397718
0.9621713,0.8421888
0.0083949845,0.099935986
0.030878672,0.35292336
0.0017105873,0.025100779
0.04057825,0.18149784
0.8978098,0.17597452
0.99501234,0.9855129
0.9962896,0.8750987
0.85036886,0.020094123
0.99220455,0.97124666
0.005005566,0.075264536
0.97557133,0.8414645
0.016205335,0.120388344
0.991026,0.92768085
0.9820665,0.86110497
0.9796245,0.8696455
0.9531008,0.8088423
0.0024333736,0.029764853
0.7769872,0.9406879
0.9768851,0.46856412
0.0055146324,0.033855256
0.057299692,0.627239
0.0067704627,0.16076772
0.01588705,0.30478784
0.6917024,0.82308435
0.0032261913,0.01115527
0.12372532,0.5565522
0.91174585,0.90178144
0.3680511,0.38762262
0.99476814,0.9780066
0.029123982,0.23811644
0.0037760143,0.024504496
0.46991274,0.9519586
0.9319596,0.5122034
0.9736728,0.6220704
0.21493709,0.60898226
0.0042835134,0.10881181
0.9903966,0.9363572
0.0039628646,0.030936046
0.0060284543,0.051108077
0.31193328,0.9281701
0.95368385,0.68871486
0.0039583487,0.013818726
0.9893718,0.9578463
0.99760205,0.9919229
0.03679223,0.34687033
0.0022196549,0.017488431
0.9159761,0.8069992
0.98735297,0.37602007
0.96863043,0.24359769
0.603909,0.75921214
0.9286455,0.9702563
0.028796352,0.04493552
0.2807165,0.3818539
0.8743343,0.652464
0.9888792,0.80707324
0.007409625,0.012148498
0.052762475,0.8344477
0.0048628277,0.034434393
0.44089168,0.58091915
0.9970789,0.9847291
0.007749191,0.010783057
0.059290133,0.2762072
0.0050704805,0.01759485
0.9267302,0.46759233
0.0817384,0.52602696
0.020262484,0.6083292
0.48619053,0.75993896
0.16197115,0.3649385
0.18311362,0.4786253
0.9922012,0.9226451
0.046170626,0.49604106
0.09246512,0.74827003
0.035245355,0.6228648
0.016474849,0.17122307
0.02394855,0.2507689
0.091980375,0.9216295
0.2475382,0.14156437
0.63106215,0.39971396
0.002311644,0.01944954
0.10862835,0.31662786
0.59142315,0.9065214
0.8610607,0.55220723
0.72007805,0.59872097
0.09411329,0.20234197
0.9935266,0.968363
0.97953963,0.72469455
0.011544489,0.019615943
0.98300374,0.9422839
0.009321626,0.037002508
0.9603957,0.4280914
0.0023664786,0.010740005
0.003537259,0.024358306
0.004136299,0.021645015
0.005460383,0.3191934
0.008655782,0.012243915
0.21497415,0.063321844
0.97766364,0.74676925
0.002200941,0.0069896686
0.00664884,0.12649246
0.0022615024,0.0074154143
0.0057136817,0.0138042485
0.22308652,0.07411833
0.011658767,0.020360336
0.0034074506,0.033675566
0.72057337,0.25867742
0.09420067,0.12649082
0.6884199,0.8934929
0.6115167,0.94749004
